obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
v_london,1,5,914.0,1380.0,1.3838,0.024181,-93.882,0.093344,1.307,-232.76,0.00015995,6.7546e-05,1.0008
v_blueprint,1,5,845.0,1126.0,0.27317,0.041297,84.951,-0.22859,0.68736,124.47,-0.00041264,5.2763e-05,1.0003
v_there,1,5,1024.0,1536.0,0.37216,0.091455,628.62,0.19003,0.73642,36.113,0.00026068,0.00010622,1.0027
v_adam,1,5,450.0,600.0,1.0499,0.025643,108.77,0.19467,1.0054,-7.8895,0.0011218,-3.184e-05,1.0021
v_apprentices,1,5,1331.0,998.0,0.2564,0.092521,94.187,-0.28031,0.83589,-0.15652,-0.00048968,6.0866e-05,1.0015
v_coffeehouse,1,5,979.0,1478.0,0.48225,-0.0073572,233.85,-0.0682,0.71348,133.06,-0.000148,-6.4338e-06,0.99959
v_talent,1,5,882.0,2456.0,1.4932,0.01661,231.74,0.45676,1.4341,-212.29,0.0013256,9.9938e-05,0.99686
v_yuri,1,5,1411.0,1058.0,2.6481,0.070248,-423.11,0.5002,2.6605,-906.39,0.0012014,0.00025943,0.99533
v_wall,1,5,653.0,986.0,1.5651,0.059459,115.41,0.30159,1.5966,-208.27,0.00086121,5.4711e-05,1.0072
v_man,1,5,968.0,1290.0,1.2895,0.43518,-118.46,-0.025956,1.4233,161.89,-3.0413e-05,0.00069874,1.0013
v_underground,1,5,1024.0,1536.0,0.34904,-0.0038637,-43.899,-0.22316,0.99346,45.579,-0.00041195,-1.2246e-05,1.0
v_wapping,1,5,1290.0,968.0,0.24942,0.11134,-16.298,-0.18535,0.6455,77.242,-0.00051592,1.6642e-05,0.99907
v_cartooncity,1,5,816.0,1232.0,1.4851,0.019667,254.94,0.29789,1.4748,-221.33,0.0011733,8.9825e-05,1.0015
v_tabletop,1,5,845.0,1126.0,0.38266,-0.33125,122.6,-0.21363,0.61581,225.35,-0.00034121,-7.7515e-06,0.99865
v_fest,1,5,845.0,1126.0,2.1479,0.036813,206.94,0.67819,1.8174,-485.8,0.0012074,-6.8043e-06,0.99599
v_churchill,1,5,1024.0,768.0,0.70161,0.023304,-1.9207,-0.10366,0.81239,71.251,-0.00023167,-1.5062e-05,0.99976
v_courses,1,5,907.0,1210.0,0.24117,0.068506,48.185,-0.23318,0.79398,68.106,-0.0005259,5.079e-05,0.99834
v_beyus,1,5,1126.0,845.0,0.13896,0.020204,194.37,-0.25201,0.63798,118.99,-0.00052359,2.2762e-05,0.9996
v_strand,1,5,1290.0,968.0,0.45841,0.038317,36.428,-0.26806,0.75693,165.6,-0.00037539,-1.4035e-05,1.0016
v_sunseason,1,5,1024.0,1536.0,0.084461,-0.022036,252.3,-0.21,0.51325,245.38,-0.000447,-2.621e-05,1.0009
v_bip,1,5,574.0,768.0,0.4605,0.0019073,42.778,0.003918,0.45748,107.3,1.6895e-05,4.8733e-06,1.0001
v_astronautis,1,5,1612.0,735.0,2.4665,0.083695,233.31,0.87021,2.8235,-936.68,0.0017821,0.0001592,0.98707
v_gardens,1,5,845.0,1126.0,0.22838,0.03913,28.694,-0.27439,0.85037,47.532,-0.00058928,2.8556e-05,0.99128
v_feast,1,5,998.0,1331.0,0.41444,0.045979,45.056,-0.13903,0.70238,133.45,-0.00029047,1.6717e-05,1.0008
v_boat,1,5,680.0,850.0,0.10114,0.52631,205.32,-0.52388,0.091046,533.83,1.0754e-05,-5.5879e-06,1.0
v_bird,1,5,973.0,1068.0,2.6177,0.042575,-65.797,0.74359,2.3954,-903.27,0.0018892,8.2816e-05,0.98996
v_bees,1,5,846.0,1129.0,0.38854,-0.073106,92.576,-0.1986,0.7319,139.21,-0.00040811,-1.555e-05,0.99988
v_pomegranate,1,5,968.0,1290.0,0.60706,-0.0038039,8.0161,-0.11493,0.82492,81.214,-0.00024265,6.8249e-05,0.99908
v_charing,1,5,1331.0,998.0,1.6284,1.0346,-954.33,-0.096789,2.5434,-782.98,-0.00078653,0.0011044,1.0
v_artisans,1,5,759.0,1830.0,0.012717,0.014394,193.52,-0.12386,0.60301,126.7,-0.00063953,7.9665e-05,1.0012
v_home,1,5,845.0,1126.0,0.14705,0.061323,72.893,-0.27582,0.69094,109.44,-0.00056993,1.3825e-06,0.9981
v_busstop,1,5,998.0,1331.0,0.45287,0.0061881,100.32,-0.053734,0.66556,61.961,-0.00023168,-5.8559e-06,1.0005
v_laptop,1,5,574.0,768.0,0.28947,-0.64679,587.37,0.61874,0.31055,-37.668,-5.8406e-05,-3.3276e-06,1.0417
v_maskedman,1,5,653.0,986.0,0.42184,0.014193,101.85,-0.1354,0.82504,67.413,-0.00043768,2.8719e-06,1.0054
v_weapons,1,5,1290.0,968.0,0.52949,-0.028655,46.849,-0.2451,0.79991,158.44,-0.00032499,-1.8164e-05,0.99959
v_bark,1,5,512.0,765.0,0.30367,0.12862,200.05,-0.12888,0.30356,134.47,2.6855e-07,-3.4026e-07,1.0
v_dogman,1,5,522.0,788.0,0.31269,-0.011782,51.842,-0.22276,0.71181,65.24,-0.00081452,-4.173e-05,0.99309
v_abstract,1,5,922.0,1229.0,0.4391,-0.010813,-19.376,-0.20742,0.72173,148.54,-0.00038738,5.9533e-06,0.99821
v_war,1,5,845.0,1126.0,0.37694,0.049406,111.53,-0.16444,0.72986,84.602,-0.00037753,4.0247e-05,0.99869
v_yard,1,5,845.0,1126.0,1.9207,0.17258,153.68,0.62581,1.7293,-542.33,0.0010509,0.0001244,0.99848
v_birdwoman,1,5,813.0,1100.0,1.2108,-0.031741,47.374,0.20996,1.0345,-107.36,0.00054926,-6.3631e-06,1.0004
v_machines,1,5,1126.0,845.0,0.25611,0.0594,88.294,-0.24702,0.7663,71.53,-0.00048162,6.7687e-05,1.0008
v_soldiers,1,5,1290.0,968.0,0.29858,0.0403,-122.67,-0.38113,0.61838,172.03,-0.00071255,-1.0448e-06,0.97348
v_wounded,1,5,1290.0,968.0,0.54693,0.20925,-108.35,-0.082341,1.1176,-236.48,-0.0006026,0.0001769,1.0001
v_graffiti,1,5,640.0,800.0,0.62147,0.055609,221.79,0.21978,1.1561,-23.942,0.00048557,-4.4311e-05,0.99866
v_wormhole,1,5,653.0,986.0,3.6472,0.14299,-426.33,0.62737,3.2151,-642.67,0.0026681,0.00051247,1.0208
v_eastsouth,1,5,680.0,850.0,0.38914,0.285,169.51,-0.28531,0.39347,340.1,-6.4617e-06,5.0341e-06,1.0
v_grace,1,5,1024.0,1536.0,0.27023,0.0025009,10.742,-0.13748,0.80553,82.96,-0.00035608,-3.7961e-07,0.99989
v_calder,1,5,1008.0,756.0,0.16406,0.0020015,107.23,-0.34078,0.54946,250.93,-0.00059329,6.6478e-05,0.99713
v_colors,1,5,1024.0,1536.0,3.6877,-0.088102,-163.13,0.97688,3.3164,-1085.4,0.0018885,-5.1402e-05,1.0136
v_circus,1,5,1331.0,998.0,0.50818,0.074933,22.63,-0.21583,0.79572,83.496,-0.00030935,1.4554e-05,1.0012
v_samples,1,5,1327.0,1316.0,0.76427,0.22206,44.035,0.077375,0.88384,134.35,-3.0125e-06,0.00025887,1.0001
v_vitro,1,5,1126.0,845.0,0.62091,-0.030805,57.622,-0.22703,0.84222,-13.023,-0.00037179,-4.2767e-05,0.99852
v_bricks,1,5,700.0,1000.0,0.42186,0.031568,60.169,-0.084563,0.88575,93.738,-0.00032749,1.4457e-05,1.0012
