obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
v_london,1,3,914.0,1380.0,0.86273,0.030727,-257.65,-0.081274,1.0175,-48.986,-0.00016043,4.4449e-05,1.0008
v_blueprint,1,3,845.0,1126.0,1.547,0.11677,155.75,0.40373,1.373,-170.1,0.00090791,8.8782e-05,1.0012
v_there,1,3,1024.0,1536.0,0.68878,0.093715,545.2,0.23076,0.90959,-61.673,0.00030261,7.3668e-05,0.99921
v_adam,1,3,450.0,600.0,0.37083,-0.024499,139.16,-0.094573,0.62749,65.353,-0.00053805,-2.2225e-05,0.99885
v_apprentices,1,3,1331.0,998.0,0.60367,0.071352,-36.528,-0.21232,0.96671,-45.299,-0.00036835,6.7456e-05,0.99996
v_coffeehouse,1,3,979.0,1478.0,1.3308,-0.060097,223.54,0.17906,0.94189,-10.999,0.00034146,-4.4675e-05,0.99983
v_talent,1,3,882.0,2456.0,0.1176,-0.0075311,194.61,-0.10067,0.3391,257.1,-0.00023555,-9.6091e-06,0.99858
v_yuri,1,3,1411.0,1058.0,0.80989,0.15593,-274.24,-0.19006,1.3082,-274.15,-0.00047728,0.0001622,1.0
v_wall,1,3,653.0,986.0,0.48882,0.0079397,13.575,-0.24956,0.69593,149.6,-0.00053246,-7.8574e-06,1.0026
v_man,1,3,968.0,1290.0,1.5642,-0.086387,479.53,0.50209,1.3744,-334.95,0.00079484,-8.9305e-05,1.0
v_underground,1,3,1024.0,1536.0,0.57079,0.0076829,-45.295,-0.15447,0.93183,62.276,-0.00028402,-5.8827e-06,0.99996
v_wapping,1,3,1290.0,968.0,0.35568,0.079611,-21.49,-0.17793,0.7199,62.24,-0.00050458,1.9913e-05,0.9982
v_cartooncity,1,3,816.0,1232.0,0.091252,0.0066749,132.72,-0.14667,0.47258,88.51,-0.00056772,8.3791e-06,1.0029
v_tabletop,1,3,845.0,1126.0,1.166,0.67224,140.62,0.15042,0.84157,135.55,0.00052524,6.3755e-06,0.99907
v_fest,1,3,845.0,1126.0,0.41873,-0.043533,-18.562,-0.27021,0.88041,53.791,-0.00050299,-2.2546e-05,0.99941
v_churchill,1,3,1024.0,768.0,3.1627,0.083211,-238.71,0.86697,3.35,-963.79,0.0025774,0.00035047,0.99171
v_courses,1,3,907.0,1210.0,2.0992,0.031995,22.459,0.3749,1.8626,-395.34,0.00096116,1.0156e-05,1.0001
v_beyus,1,3,1126.0,845.0,1.441,-0.037212,269.33,0.73295,1.6438,-380.65,0.0014226,4.1601e-05,1.0102
v_strand,1,3,1290.0,968.0,0.73064,-0.15447,105.22,-0.058424,0.44937,109.29,-2.5324e-05,-0.00034262,0.999
v_sunseason,1,3,1024.0,1536.0,0.62412,-0.044316,89.883,-0.094161,0.6779,150.63,-0.00020649,-6.7183e-05,0.99998
v_bip,1,3,574.0,768.0,0.63669,0.0018872,137.9,-0.00033285,0.63926,95.922,-2.0441e-06,4.1104e-06,1.0
v_astronautis,1,3,1612.0,735.0,0.55202,0.096567,108.66,-0.35774,1.4927,-276.32,-0.00068886,0.0001065,0.98986
