obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
v_london,1,2,914.0,1380.0,0.88632,-0.012492,-136.92,-0.047209,1.0157,42.178,-0.0001423,1.8595e-05,1.0005
v_blueprint,1,2,845.0,1126.0,1.3067,0.060975,22.417,0.23316,1.1321,-91.859,0.00051223,4.1888e-05,0.99955
v_there,1,2,1024.0,1536.0,1.1304,0.022581,185.11,0.23407,1.1353,-135.46,0.00024565,6.1992e-06,0.99973
v_adam,1,2,450.0,600.0,1.1202,-0.0055862,43.04,0.17566,1.0194,-5.6786,0.00085767,-4.4625e-05,0.99922
v_apprentices,1,2,1331.0,998.0,1.0246,0.016435,0.71016,0.043099,1.0208,-52.406,6.6741e-05,4.9081e-05,1.0002
v_coffeehouse,1,2,979.0,1478.0,0.48785,-0.018559,180.98,-0.074731,0.78345,83.419,-0.00019936,1.4194e-06,1.0001
v_talent,1,2,882.0,2456.0,0.1857,-0.0018512,147.73,-0.094288,0.35154,277.67,-0.00019671,-1.563e-05,0.9996
v_yuri,1,2,1411.0,1058.0,1.0035,-0.00055314,2.5255,-0.0028717,1.0087,-9.7285,-3.8783e-06,3.4244e-06,1.0
v_wall,1,2,653.0,986.0,0.66178,0.015003,22.041,-0.16513,0.77183,109.74,-0.00034547,-3.4248e-07,1.0008
v_man,1,2,968.0,1290.0,0.47589,0.042551,60.888,-0.21388,0.80238,62.033,-0.0003663,2.6901e-05,1.001
v_underground,1,2,1024.0,1536.0,0.84196,-0.0011189,-94.257,-0.071483,0.95374,58.247,-0.00012617,-1.0212e-05,1.0
v_wapping,1,2,1290.0,968.0,1.1901,-0.048587,107.72,0.14488,1.1926,-121.84,0.00033622,1.1241e-05,1.0001
v_cartooncity,1,2,816.0,1232.0,0.73597,-0.0032436,13.11,0.017092,0.71039,36.002,5.8878e-05,-9.3828e-06,0.99995
v_tabletop,1,2,845.0,1126.0,1.0669,0.31109,194.1,-0.019953,0.9209,79.624,0.000135,-7.6705e-05,0.99977
v_fest,1,2,845.0,1126.0,0.75268,-0.0092452,-71.273,-0.17607,0.97566,6.3105,-0.00029582,-1.5187e-05,0.99957
v_churchill,1,2,1024.0,768.0,2.3594,0.0026252,-116.05,0.5085,2.302,-550.96,0.0013826,0.0001837,1.0004
v_courses,1,2,907.0,1210.0,1.3587,-0.0059528,52.219,0.14127,1.2223,-104.69,0.00032175,-7.4735e-06,0.99967
v_beyus,1,2,1126.0,845.0,0.27763,0.016633,143.11,-0.20529,0.5999,174.48,-0.00040227,5.9586e-06,1.0007
v_strand,1,2,1290.0,968.0,0.98278,-0.0048237,22.209,-0.012055,0.97088,45.658,-7.6753e-06,-2.3467e-05,1.0001
v_sunseason,1,2,1024.0,1536.0,0.8771,0.00026849,-1.1131,-0.035484,0.88589,36.525,-7.7192e-05,-1.833e-05,1.0
v_bip,1,2,574.0,768.0,0.67783,0.002447,123.0,-0.00051063,0.68091,83.563,-2.5166e-06,5.6486e-06,1.0
v_astronautis,1,2,1612.0,735.0,0.7855,0.039826,119.05,-0.25749,1.3451,-220.69,-0.00047304,5.3677e-05,1.001
v_gardens,1,2,845.0,1126.0,2.2787,0.023843,-30.321,0.58793,1.9158,-459.28,0.0012782,-6.6868e-06,0.99971
v_feast,1,2,998.0,1331.0,0.63263,0.001679,211.33,-0.027901,0.65071,172.66,-3.6475e-05,-1.5978e-05,1.0
v_boat,1,2,680.0,850.0,0.85799,0.21669,9.4839,-0.21177,0.85855,130.48,1.5015e-06,9.2033e-07,1.0
v_bird,1,2,973.0,1068.0,0.32788,-0.00026656,168.52,-0.087696,0.49289,72.043,-0.00025798,4.6006e-06,0.9984
v_bees,1,2,846.0,1129.0,1.4272,0.064496,-40.82,0.15764,1.3161,-94.847,0.00037033,4.6015e-05,0.99258
v_pomegranate,1,2,968.0,1290.0,0.91628,-0.19782,70.502,0.072414,0.68419,-33.187,5.7127e-06,-0.00025258,0.99947
v_charing,1,2,1331.0,998.0,4.3722,0.14407,-818.24,-0.25209,3.9595,-549.15,0.001718,0.0010825,0.97985
v_artisans,1,2,759.0,1830.0,0.87235,0.023622,101.75,0.12982,0.76075,59.456,0.0005519,9.0915e-05,1.0016
v_home,1,2,845.0,1126.0,1.1943,0.010001,372.77,0.22686,1.0937,-67.914,0.00058802,5.2037e-05,0.99941
v_busstop,1,2,998.0,1331.0,1.3507,-0.1242,301.54,0.18153,1.2018,-105.44,0.00036883,5.1928e-06,1.0001
v_laptop,1,2,574.0,768.0,0.85555,-0.17378,91.59,0.17068,0.85755,-31.264,-5.1182e-06,2.0966e-06,1.0023
v_maskedman,1,2,653.0,986.0,1.3903,-0.069797,29.319,0.18963,1.0284,22.049,0.00052989,-9.8197e-05,1.0021
v_weapons,1,2,1290.0,968.0,1.3413,0.006176,153.28,0.30309,1.1645,-105.38,0.00039231,-4.6409e-05,0.99937
v_bark,1,2,512.0,765.0,0.70212,0.43231,-128.54,-0.42351,0.70276,199.3,6.3285e-06,1.2175e-05,0.99997
v_dogman,1,2,522.0,788.0,0.49838,-0.015725,33.278,-0.18045,0.77392,59.799,-0.00064863,-4.2793e-05,0.99978
v_abstract,1,2,922.0,1229.0,0.7088,-0.010965,-26.07,-0.13602,0.83489,103.19,-0.00023352,-1.5615e-05,1.0004
v_war,1,2,845.0,1126.0,1.8851,0.028166,274.85,0.48185,1.6951,-326.97,0.0011778,8.455e-05,0.99801
v_yard,1,2,845.0,1126.0,0.68905,-0.011986,-40.238,-0.14165,0.86672,60.575,-0.00022064,5.077e-05,0.99921
v_birdwoman,1,2,813.0,1100.0,0.49202,0.0057754,242.06,0.058005,0.43541,166.02,0.00018017,1.0746e-05,0.99974
v_machines,1,2,1126.0,845.0,1.4862,-0.061679,54.577,0.4606,1.2816,-147.5,0.0007321,-7.3842e-05,0.99895
v_soldiers,1,2,1290.0,968.0,1.3522,0.025037,96.693,0.20588,1.5085,-279.44,0.000418,4.2466e-05,1.0103
v_wounded,1,2,1290.0,968.0,0.84581,-0.039469,34.117,-0.067529,0.81703,142.37,-0.00011408,-0.00014793,1.0014
v_graffiti,1,2,640.0,800.0,0.88184,0.31397,-39.976,-0.18167,0.93621,153.25,0.00020118,-1.9028e-05,0.99997
v_wormhole,1,2,653.0,986.0,1.4733,-0.014435,76.772,0.25007,1.2556,-120.81,0.00088206,8.1414e-05,1.002
v_eastsouth,1,2,680.0,850.0,0.83129,0.00294,81.765,-0.011403,0.83158,63.28,-7.0021e-06,-1.5701e-05,1.0
v_grace,1,2,1024.0,1536.0,0.74922,-0.0014388,-75.597,-0.074158,0.94323,40.455,-0.00018126,-6.2301e-06,1.0
v_calder,1,2,1008.0,756.0,0.94726,0.076953,177.36,0.25112,1.0126,13.205,0.00047269,2.7805e-05,0.99969
v_colors,1,2,1024.0,1536.0,1.3186,-0.0097277,-143.16,0.094663,1.1956,-58.383,0.00019153,-2.0281e-05,0.99989
v_circus,1,2,1331.0,998.0,0.77044,-0.014353,152.19,0.007827,0.75172,76.397,1.9039e-05,-2.1554e-05,1.0
v_samples,1,2,1327.0,1316.0,0.54304,0.026384,236.48,-0.041921,0.64806,87.13,-5.8662e-05,1.5685e-05,1.0
v_vitro,1,2,1126.0,845.0,1.1442,-0.037625,115.5,0.22206,1.0286,-30.039,0.00032815,-2.4116e-05,0.9999
v_bricks,1,2,700.0,1000.0,0.79208,0.010314,26.019,-0.023778,0.92337,43.513,-0.00011513,1.2161e-05,1.0003
v_azzola,1,2,845.0,1126.0,0.51123,-0.013639,59.603,-0.16055,0.85238,103.24,-0.0003334,-4.0403e-05,1.0009
v_tempera,1,2,845.0,1126.0,0.6729,-0.01895,127.73,-0.015916,0.67847,176.42,-3.6225e-05,-3.2204e-05,1.0
v_posters,1,2,1387.0,1382.0,0.60665,-0.013034,217.78,0.087451,0.52146,32.707,0.00021516,2.9281e-07,1.0006
v_dirtywall,1,2,1232.0,816.0,0.55616,0.0088234,83.342,-0.19782,0.70845,195.76,-0.00029305,-3.175e-05,0.99884
v_woman,1,2,767.0,1034.0,1.0405,-0.022486,224.5,0.18267,0.86513,36.24,0.00035492,1.209e-05,1.0
